competition_id,match_id,date,s1_start,s1_end,s1_dur,s2_start,s2_end,s2_dur,weather,weather_id,pitch,pitch_id,home_team,home_team_id,home_score,away_team,away_team_id,away_score
1,53,20200628,18:00,18:49,49,19:04,19:55,51,맑음,1,울산 문수,68,울산,K01,0,전북,K05,2
1,54,20200628,19:00,19:46,46,20:01,20:52,51,맑음,1,수원 월드컵,69,수원,K02,0,상주,K23,1
1,55,20200704,18:00,18:47,47,19:02,19:51,49,흐림,2,울산 문수,68,울산,K01,4,인천,K18,1
1,56,20200704,19:00,19:46,46,20:02,20:51,49,맑음,1,강릉 종합,25,강원,K21,2,부산,K06,4
1,57,20200704,20:00,20:49,49,21:05,21:55,50,맑음,1,수원 월드컵,69,수원,K02,3,서울,K09,3
1,58,20200705,19:00,19:46,46,20:01,20:53,52,맑음,1,상주 시민,80,상주,K23,1,전북,K05,0
1,59,20200705,19:00,19:48,48,20:02,20:50,48,맑음,1,탄천 종합,84,성남,K08,0,포항,K03,4
1,60,20200705,19:00,19:47,47,20:02,20:51,49,흐림,2,광주 월드컵,73,광주,K22,2,대구,K17,4
1,61,20200710,19:30,20:16,46,20:31,21:19,48,흐림,2,부산 구덕,9,부산,K06,2,서울,K09,0
1,62,20200711,19:00,19:49,49,20:04,20:53,49,흐림,2,전주 월드컵,71,전북,K05,2,성남,K08,2
1,63,20200711,19:00,19:46,46,20:02,20:52,50,흐림,2,포항 스틸야드,14,포항,K03,1,수원,K02,1
1,64,20200711,19:00,19:46,46,20:01,20:49,48,맑음,1,인천 전용,95,인천,K18,1,상주,K23,1
1,65,20200712,19:00,19:46,46,20:01,20:51,50,비,3,DGB대구은행파크,114,대구,K17,1,울산,K01,3
1,66,20200712,19:00,19:47,47,20:02,20:50,48,흐림,2,강릉 종합,25,강원,K21,4,광주,K22,1
1,67,20200718,20:00,20:46,46,21:01,21:52,51,맑음,1,서울 월드컵,82,서울,K09,1,포항,K03,3
1,68,20200718,19:00,19:47,47,20:02,20:51,49,맑음,1,상주 시민,80,상주,K23,2,대구,K17,0
1,69,20200718,18:00,18:46,46,19:01,19:49,48,맑음,1,부산 구덕,9,부산,K06,0,광주,K22,0
1,70,20200719,19:00,19:46,46,20:02,20:50,48,흐림,2,울산 문수,68,울산,K01,1,강원,K21,0
1,71,20200719,19:00,19:46,46,20:01,20:51,50,흐림,2,수원 월드컵,69,수원,K02,0,성남,K08,1
1,72,20200719,19:01,19:48,47,20:03,20:52,49,흐림,2,인천 전용,95,인천,K18,1,전북,K05,1
1,73,20200725,19:00,19:46,46,20:01,20:50,49,흐림,2,상주 시민,80,상주,K23,1,울산,K01,5
1,74,20200725,19:00,19:47,47,20:02,20:50,48,흐림,2,탄천 종합,84,성남,K08,0,강원,K21,0
1,75,20200725,20:00,20:47,47,21:01,21:52,51,,0,광주 전용,117,광주,K22,0,수원,K02,1
1,76,20200726,19:00,19:46,46,20:01,20:49,48,흐림,2,전주 월드컵,71,전북,K05,3,서울,K09,0
1,77,20200726,19:00,19:46,46,20:01,20:50,49,흐림,2,포항 스틸야드,14,포항,K03,1,인천,K18,1
1,78,20200726,19:00,19:52,52,20:08,20:57,49,맑음,1,DGB대구은행파크,114,대구,K17,3,부산,K06,0
1,79,20200801,19:00,19:48,48,20:03,20:51,48,흐림,2,전주 월드컵,71,전북,K05,2,포항,K03,1
1,80,20200801,19:00,19:46,46,20:02,20:51,49,흐림,2,탄천 종합,84,성남,K08,1,서울,K09,2
1,81,20200801,20:00,20:46,46,21:01,21:52,51,흐리고 비,4,인천 전용,95,인천,K18,1,광주,K22,3
1,82,20200802,19:00,19:50,50,20:05,20:53,48,흐림,2,강릉 종합,25,강원,K21,2,상주,K23,2
1,83,20200802,19:00,19:47,47,20:02,20:52,50,비,3,수원 월드컵,69,수원,K02,0,대구,K17,1
1,84,20200802,19:00,19:48,48,20:03,20:55,52,흐림,2,부산 구덕,9,부산,K06,1,울산,K01,2
1,85,20200807,20:00,20:47,47,21:02,21:54,52,흐림,2,서울 월드컵,82,서울,K09,2,강원,K21,0
1,86,20200808,19:00,19:47,47,20:03,20:53,50,흐림,2,울산 문수,68,울산,K01,0,수원,K02,0
