competition_id,match_id,date,s1_start,s1_end,s1_dur,s2_start,s2_end,s2_dur,weather,weather_id,pitch,pitch_id,home_team,home_team_id,home_score,away_team,away_team_id,away_score
2,1,20210227,13:31,14:19,48,14:33,15:24,51,맑음,1,창원 축구센터,91,경남,K20,1,안양,K27,2
2,2,20210227,16:01,16:46,45,17:01,17:49,48,맑음,1,광양 전용,5,전남,K07,0,아산,K34,0
2,3,20210227,16:00,16:47,47,17:02,17:50,48,맑음,1,안산 와스타디움,103,안산,K32,1,상주,K23,1
2,4,20210228,13:30,14:16,46,14:31,15:21,50,맑음,1,부천 종합,8,부천,K26,1,대전,K10,2
2,5,20210228,16:00,16:46,46,17:02,17:52,50,흐림,2,부산 구덕,9,부산,K06,0,서울E,K31,3
2,6,20210306,13:30,14:17,47,14:31,15:22,51,흐림,2,아산 이순신,112,아산,K34,0,부천,K26,1
2,7,20210306,16:01,16:47,46,17:03,17:51,48,흐림,2,잠실 올림픽,1,서울E,K31,4,상주,K23,0
2,8,20210306,16:00,16:46,46,17:01,17:52,51,흐림,2,안양 종합,10,안양,K27,1,안산,K32,2
2,9,20210307,13:31,14:18,47,14:33,15:23,50,맑음,1,대전 월드컵,70,대전,K10,1,부산,K06,2
2,10,20210307,16:00,16:46,46,17:00,17:50,50,맑음,1,광양 전용,5,전남,K07,1,경남,K20,0
2,11,20210313,13:30,14:16,46,14:32,15:24,52,흐림,2,안산 와스타디움,103,안산,K32,1,경남,K20,2
2,12,20210313,16:00,16:46,46,17:01,17:52,51,맑음,1,아산 이순신,112,아산,K34,4,부산,K06,0
2,13,20210314,13:30,14:18,48,14:34,15:22,48,맑음,1,잠실 올림픽,1,서울E,K31,1,전남,K07,1
2,14,20210314,16:00,16:47,47,17:02,17:49,47,맑음,1,부천 종합,8,부천,K26,0,안양,K27,0
2,15,20210314,18:30,19:17,47,19:31,20:21,50,맑음,1,대전 월드컵,70,대전,K10,1,상주,K23,2
2,16,20210320,13:30,14:16,46,14:31,15:20,49,비,3,부천 종합,8,부천,K26,1,전남,K07,1
2,17,20210320,16:00,16:47,47,17:02,17:52,50,흐림,2,안양 종합,10,안양,K27,0,대전,K10,1
2,18,20210320,18:30,19:17,47,19:32,20:21,49,흐림,2,안산 와스타디움,103,안산,K32,1,아산,K34,0
2,19,20210321,13:30,14:17,47,14:32,15:21,49,맑음,1,창원 축구센터,91,경남,K20,0,서울E,K31,0
2,20,20210321,16:00,16:46,46,17:00,17:51,51,흐림,2,부산 구덕,9,부산,K06,2,상주,K23,1
2,21,20210403,13:30,14:17,47,14:33,15:21,48,비,3,아산 이순신,112,아산,K34,2,경남,K20,1
2,22,20210403,16:00,16:46,46,17:01,17:53,52,비,3,부산 구덕,9,부산,K06,1,안산,K32,1
